canton,produccion,area,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,GWETPROF,GWETROOT,GWETTOP,PRECTOTCORR_SUM,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,WS10M,WS2M,fecha
CARTAGO,32.31,788.7176,16.67,10.49,23.08,0.83,0.84,0.84,80.76,90.2,19.22,17.27,18.24,23.81,14.71,1.51,0.16,2023-01-01
CARTAGO,34.440000000000005,802.1343360000001,18.49,11.44,25.38,0.74,0.74,0.76,87.3,88.15,19.29,16.93,18.11,25.5,13.53,1.86,0.16,2023-02-01
CARTAGO,31.745,787.3011839999999,17.7,11.86,26.21,0.71,0.72,0.73,151.59,87.55,19.78,17.24,18.51,26.88,15.29,1.29,0.16,2023-03-01
CARTAGO,6.999999999999999,159.06816,18.51,12.13,26.81,0.69,0.69,0.7,102.28,83.38,20.89,17.39,19.14,29.09,14.76,1.19,0.16,2023-04-01
CARTAGO,4.655,109.525056,17.89,12.05,26.23,0.68,0.69,0.71,231.09,85.51,21.93,18.95,20.44,28.39,16.99,1.06,0.14,2023-05-01
CARTAGO,2.8,66.2784,16.5,11.88,25.63,0.83,0.84,0.86,291.24,90.52,21.64,19.73,20.68,27.36,15.81,0.77,0.13,2023-06-01
CARTAGO,15.981000000000002,370.827248,15.3,11.87,25.68,0.91,0.92,0.91,293.25,91.8,21.23,19.55,20.39,26.35,16.89,0.95,0.12,2023-07-01
CARTAGO,21.489999999999995,522.35664,15.38,12.17,26.31,0.93,0.95,0.92,232.04,90.84,21.4,19.55,20.47,27.28,17.24,0.85,0.12,2023-08-01
CARTAGO,68.00500000000001,1668.7244159999998,16.52,12.01,26.07,0.92,0.93,0.91,177.24,88.68,21.45,19.12,20.28,26.95,15.9,0.83,0.13,2023-09-01
CARTAGO,15.225,371.98752,14.83,11.59,24.85,0.95,0.97,0.94,381.46,92.57,21.52,20.04,20.78,26.68,17.48,0.6,0.16,2023-10-01
CARTAGO,15.05,393.245472,13.44,10.66,22.86,0.97,0.99,0.96,294.26,93.77,21.08,19.82,20.45,26.1,16.67,0.82,0.14,2023-11-01
CARTAGO,47.81,1131.91392,15.33,10.16,22.09,0.92,0.94,0.91,150.04,91.62,20.66,18.99,19.82,25.7,16.68,1.32,0.16,2023-12-01
ALVARADO,39.06,1027.52232,16.67,10.49,23.08,0.83,0.84,0.84,80.76,90.2,19.22,17.27,18.24,23.81,14.71,1.51,0.16,2023-01-01
ALVARADO,27.86,667.092096,18.49,11.44,25.38,0.74,0.74,0.76,87.3,88.15,19.29,16.93,18.11,25.5,13.53,1.86,0.16,2023-02-01
ALVARADO,21.175,557.98328,17.7,11.86,26.21,0.71,0.72,0.73,151.59,87.55,19.78,17.24,18.51,26.88,15.29,1.29,0.16,2023-03-01
ALVARADO,38.5,991.69056,18.51,12.13,26.81,0.69,0.69,0.7,102.28,83.38,20.89,17.39,19.14,29.09,14.76,1.19,0.16,2023-04-01
ALVARADO,59.17099999999999,1559.282208,17.89,12.05,26.23,0.68,0.69,0.71,231.09,85.51,21.93,18.95,20.44,28.39,16.99,1.06,0.14,2023-05-01
ALVARADO,58.415000000000006,1738.2338879999998,16.5,11.88,25.63,0.83,0.84,0.86,291.24,90.52,21.64,19.73,20.68,27.36,15.81,0.77,0.13,2023-06-01
ALVARADO,28.0,742.73232,15.3,11.87,25.68,0.91,0.92,0.91,293.25,91.8,21.23,19.55,20.39,26.35,16.89,0.95,0.12,2023-07-01
ALVARADO,87.696,2823.1001088,15.38,12.17,26.31,0.93,0.95,0.92,232.04,90.84,21.4,19.55,20.47,27.28,17.24,0.85,0.12,2023-08-01
ALVARADO,62.384,1851.1839232,16.52,12.01,26.07,0.92,0.93,0.91,177.24,88.68,21.45,19.12,20.28,26.95,15.9,0.83,0.13,2023-09-01
ALVARADO,52.12,1634.5944,14.83,11.59,24.85,0.95,0.97,0.94,381.46,92.57,21.52,20.04,20.78,26.68,17.48,0.6,0.16,2023-10-01
ALVARADO,28.49,942.532896,13.44,10.66,22.86,0.97,0.99,0.96,294.26,93.77,21.08,19.82,20.45,26.1,16.67,0.82,0.14,2023-11-01
ALVARADO,61.88,1826.32504,15.33,10.16,22.09,0.92,0.94,0.91,150.04,91.62,20.66,18.99,19.82,25.7,16.68,1.32,0.16,2023-12-01
TURRIALBA,33.6,993.6,17.56,10.44,22.93,0.82,0.83,0.83,33.88,89.62,20.49,18.46,19.48,25.79,15.93,1.42,0.16,2024-01-01
TURRIALBA,11.55,341.54999999999995,18.13,11.39,25.1,0.73,0.73,0.75,117.35,87.47,20.06,17.56,18.81,26.77,13.93,1.4,0.16,2024-02-01
TURRIALBA,11.2,331.2,19.36,11.64,25.93,0.67,0.67,0.67,64.52,81.79,21.74,17.86,19.8,30.59,14.21,1.18,0.15,2024-03-01
TURRIALBA,11.025,326.025,17.96,11.99,26.47,0.66,0.67,0.68,171.48,83.24,21.64,18.02,19.83,29.97,14.95,1.28,0.14,2024-04-01
TURRIALBA,35.77,1057.77,16.66,11.84,25.66,0.73,0.74,0.77,785.07,87.56,22.37,19.77,21.07,29.0,16.76,0.82,0.14,2024-05-01
TURRIALBA,48.02,1420.0200000000002,15.57,11.89,25.55,0.95,0.97,0.96,768.48,92.91,21.82,20.42,21.12,26.71,17.71,0.63,0.14,2024-06-01
TURRIALBA,35.595,1052.595,14.86,11.81,25.49,0.98,1.0,0.97,539.28,93.1,21.36,19.96,20.66,26.2,16.85,0.93,0.12,2024-07-01
TURRIALBA,41.83,1236.83,15.89,11.92,25.93,0.96,0.98,0.95,201.52,90.32,21.32,19.35,20.33,26.39,17.28,0.82,0.13,2024-08-01
TURRIALBA,33.25,1016.37,14.69,11.7,25.47,0.96,0.98,0.95,393.4,91.03,21.56,19.74,20.65,27.05,17.87,0.69,0.15,2024-09-01
TURRIALBA,12.6,393.3,14.92,11.46,24.68,0.98,0.99,0.96,384.18,93.06,21.15,19.76,20.45,26.76,17.47,0.81,0.13,2024-10-01
TURRIALBA,23.975,725.535,12.34,10.62,22.8,0.99,1.0,0.98,779.73,94.04,20.64,19.44,20.04,25.46,16.24,0.63,0.14,2024-11-01
TURRIALBA,23.975,725.535,12.85,10.12,21.99,0.95,0.97,0.94,244.65,93.15,20.12,18.73,19.42,24.69,16.22,1.3,0.14,2024-12-01
OREAMUNO,106.49799999999996,3128.184,17.56,10.44,22.93,0.82,0.83,0.83,33.88,89.62,20.49,18.46,19.48,25.79,15.93,1.42,0.16,2024-01-01
OREAMUNO,78.05,2216.2247999999995,18.13,11.39,25.1,0.73,0.73,0.75,117.35,87.47,20.06,17.56,18.81,26.77,13.93,1.4,0.16,2024-02-01
OREAMUNO,76.3,2164.392,19.36,11.64,25.93,0.67,0.67,0.67,64.52,81.79,21.74,17.86,19.8,30.59,14.21,1.18,0.15,2024-03-01
OREAMUNO,23.24,627.96,17.96,11.99,26.47,0.66,0.67,0.68,171.48,83.24,21.64,18.02,19.83,29.97,14.95,1.28,0.14,2024-04-01
OREAMUNO,104.37,2970.288,16.66,11.84,25.66,0.73,0.74,0.77,785.07,87.56,22.37,19.77,21.07,29.0,16.76,0.82,0.14,2024-05-01
OREAMUNO,66.01,1903.0752,15.57,11.89,25.55,0.95,0.97,0.96,768.48,92.91,21.82,20.42,21.12,26.71,17.71,0.63,0.14,2024-06-01
OREAMUNO,80.11500000000001,2761.9596,14.86,11.81,25.49,0.98,1.0,0.97,539.28,93.1,21.36,19.96,20.66,26.2,16.85,0.93,0.12,2024-07-01
OREAMUNO,64.68,1811.072,15.89,11.92,25.93,0.96,0.98,0.95,201.52,90.32,21.32,19.35,20.33,26.39,17.28,0.82,0.13,2024-08-01
OREAMUNO,97.391,2449.7953200000006,14.69,11.7,25.47,0.96,0.98,0.95,393.4,91.03,21.56,19.74,20.65,27.05,17.87,0.69,0.15,2024-09-01
OREAMUNO,95.42400000000004,2288.64168,14.92,11.46,24.68,0.98,0.99,0.96,384.18,93.06,21.15,19.76,20.45,26.76,17.47,0.81,0.13,2024-10-01
OREAMUNO,140.67899999999997,3511.5645600000007,12.34,10.62,22.8,0.99,1.0,0.98,779.73,94.04,20.64,19.44,20.04,25.46,16.24,0.63,0.14,2024-11-01
OREAMUNO,104.86,2609.1108,12.85,10.12,21.99,0.95,0.97,0.94,244.65,93.15,20.12,18.73,19.42,24.69,16.22,1.3,0.14,2024-12-01
EL GUARCO,1.4,41.4,17.56,10.44,22.93,0.8,0.8,0.82,28.73,82.08,21.97,18.53,20.25,26.96,17.53,1.17,0.48,2024-01-01
EL GUARCO,0.175,5.175,18.13,11.39,25.1,0.7,0.69,0.71,100.01,78.08,22.12,17.65,19.88,29.02,15.97,1.3,0.49,2024-02-01
EL GUARCO,3.85,93.148,19.36,11.64,25.93,0.66,0.66,0.67,87.95,76.49,23.22,18.22,20.72,30.54,15.44,1.03,0.47,2024-03-01
EL GUARCO,0.7,16.56,17.96,11.99,26.47,0.68,0.68,0.72,225.71,78.99,22.79,18.4,20.6,29.4,16.75,1.12,0.5,2024-04-01
EL GUARCO,3.85,84.04199999999999,16.66,11.84,25.66,0.76,0.76,0.82,426.62,87.97,22.96,20.54,21.75,28.64,19.64,0.87,0.5,2024-05-01
EL GUARCO,3.85,84.04199999999999,15.57,11.89,25.55,0.94,0.96,0.95,728.81,92.0,22.07,20.55,21.31,26.9,18.77,1.04,0.53,2024-06-01
EL GUARCO,4.9,114.26,14.86,11.81,25.49,0.98,1.0,0.97,544.34,90.6,22.05,20.23,21.14,26.61,18.12,0.87,0.45,2024-07-01
EL GUARCO,3.325,97.29,15.89,11.92,25.93,0.97,0.98,0.95,259.96,88.49,21.99,19.72,20.86,27.17,18.97,0.8,0.45,2024-08-01
EL GUARCO,5.775,137.241,14.69,11.7,25.47,0.97,0.98,0.95,363.98,90.12,22.05,20.1,21.08,27.01,18.93,0.92,0.49,2024-09-01
EL GUARCO,4.55,102.672,14.92,11.46,24.68,0.98,0.99,0.96,421.59,91.42,21.64,20.0,20.82,26.48,18.5,0.99,0.5,2024-10-01
EL GUARCO,1.0499999999999998,30.429,12.34,10.62,22.8,0.99,1.0,0.98,657.99,93.19,20.94,19.64,20.29,25.33,17.98,1.02,0.52,2024-11-01
EL GUARCO,0.7,20.7,12.85,10.12,21.99,0.95,0.97,0.94,243.64,87.58,21.07,18.72,19.89,25.79,17.09,1.0,0.41,2024-12-01
CARTAGO,40.94999999999999,1071.1835999999998,17.56,10.44,22.93,0.82,0.83,0.83,33.88,89.62,20.49,18.46,19.48,25.79,15.93,1.42,0.16,2024-01-01
CARTAGO,13.859999999999998,362.49840000000006,18.13,11.39,25.1,0.73,0.73,0.75,117.35,87.47,20.06,17.56,18.81,26.77,13.93,1.4,0.16,2024-02-01
CARTAGO,16.525,442.976,19.36,11.64,25.93,0.67,0.67,0.67,64.52,81.79,21.74,17.86,19.8,30.59,14.21,1.18,0.15,2024-03-01
CARTAGO,10.885,269.72099999999995,17.96,11.99,26.47,0.66,0.67,0.68,171.48,83.24,21.64,18.02,19.83,29.97,14.95,1.28,0.14,2024-04-01
CARTAGO,5.635,123.372,16.66,11.84,25.66,0.73,0.74,0.77,785.07,87.56,22.37,19.77,21.07,29.0,16.76,0.82,0.14,2024-05-01
CARTAGO,9.282,255.25584,15.57,11.89,25.55,0.95,0.97,0.96,768.48,92.91,21.82,20.42,21.12,26.71,17.71,0.63,0.14,2024-06-01
CARTAGO,20.65,473.202,14.86,11.81,25.49,0.98,1.0,0.97,539.28,93.1,21.36,19.96,20.66,26.2,16.85,0.93,0.12,2024-07-01
CARTAGO,61.00499999999999,1295.6957999999995,15.89,11.92,25.93,0.96,0.98,0.95,201.52,90.32,21.32,19.35,20.33,26.39,17.28,0.82,0.13,2024-08-01
CARTAGO,28.769999999999992,678.9599999999999,14.69,11.7,25.47,0.96,0.98,0.95,393.4,91.03,21.56,19.74,20.65,27.05,17.87,0.69,0.15,2024-09-01
CARTAGO,8.819999999999999,202.86,14.92,11.46,24.68,0.98,0.99,0.96,384.18,93.06,21.15,19.76,20.45,26.76,17.47,0.81,0.13,2024-10-01
CARTAGO,2.975,64.99799999999999,12.34,10.62,22.8,0.99,1.0,0.98,779.73,94.04,20.64,19.44,20.04,25.46,16.24,0.63,0.14,2024-11-01
CARTAGO,3.5,82.8,12.85,10.12,21.99,0.95,0.97,0.94,244.65,93.15,20.12,18.73,19.42,24.69,16.22,1.3,0.14,2024-12-01
ALVARADO,51.009,1659.312,17.56,10.44,22.93,0.82,0.83,0.83,33.88,89.62,20.49,18.46,19.48,25.79,15.93,1.42,0.16,2024-01-01
ALVARADO,18.76,553.3524,18.13,11.39,25.1,0.73,0.73,0.75,117.35,87.47,20.06,17.56,18.81,26.77,13.93,1.4,0.16,2024-02-01
ALVARADO,11.55,291.456,19.36,11.64,25.93,0.67,0.67,0.67,64.52,81.79,21.74,17.86,19.8,30.59,14.21,1.18,0.15,2024-03-01
ALVARADO,19.25,482.306,17.96,11.99,26.47,0.66,0.67,0.68,171.48,83.24,21.64,18.02,19.83,29.97,14.95,1.28,0.14,2024-04-01
ALVARADO,51.835,1471.77,16.66,11.84,25.66,0.73,0.74,0.77,785.07,87.56,22.37,19.77,21.07,29.0,16.76,0.82,0.14,2024-05-01
ALVARADO,79.1,2394.1620000000003,15.57,11.89,25.55,0.95,0.97,0.96,768.48,92.91,21.82,20.42,21.12,26.71,17.71,0.63,0.14,2024-06-01
ALVARADO,86.8,2768.422,14.86,11.81,25.49,0.98,1.0,0.97,539.28,93.1,21.36,19.96,20.66,26.2,16.85,0.93,0.12,2024-07-01
ALVARADO,64.69,1738.598,15.89,11.92,25.93,0.96,0.98,0.95,201.52,90.32,21.32,19.35,20.33,26.39,17.28,0.82,0.13,2024-08-01
ALVARADO,58.345,1559.331,14.69,11.7,25.47,0.96,0.98,0.95,393.4,91.03,21.56,19.74,20.65,27.05,17.87,0.69,0.15,2024-09-01
ALVARADO,34.6535,1031.8039199999998,14.92,11.46,24.68,0.98,0.99,0.96,384.18,93.06,21.15,19.76,20.45,26.76,17.47,0.81,0.13,2024-10-01
ALVARADO,36.50500000000001,1039.5208799999998,12.34,10.62,22.8,0.99,1.0,0.98,779.73,94.04,20.64,19.44,20.04,25.46,16.24,0.63,0.14,2024-11-01
ALVARADO,21.0,660.3299999999999,12.85,10.12,21.99,0.95,0.97,0.94,244.65,93.15,20.12,18.73,19.42,24.69,16.22,1.3,0.14,2024-12-01
TURRIALBA,21.0,660.3299999999999,15.63,10.43,22.81,0.91,0.92,0.9,122.3,91.29,19.89,18.14,19.01,24.42,14.9,1.42,0.14,2025-01-01
TURRIALBA,21.0,660.3299999999999,17.11,11.21,24.71,0.84,0.84,0.84,57.69,88.61,19.99,17.7,18.85,26.03,15.61,1.46,0.15,2025-02-01
TURRIALBA,2.66,78.66,17.11,11.21,24.71,0.71,0.71,0.72,78.32,84.79,20.68,17.55,19.11,27.44,15.96,1.33,0.16,2025-03-01
TURRIALBA,22.399999999999995,640.6650000000001,17.11,11.21,24.71,0.76,0.77,0.79,342.6,87.64,20.78,18.26,19.52,27.01,16.5,1.33,0.14,2025-04-01
TURRIALBA,22.575,637.767,17.11,11.21,24.71,0.86,0.88,0.89,364.74,92.25,21.6,20.04,20.82,26.25,16.62,0.97,0.13,2025-05-01
OREAMUNO,0.53,7.45,15.63,10.43,22.81,0.91,0.92,0.9,122.3,91.29,19.89,18.14,19.01,24.42,14.9,1.42,0.14,2025-01-01
OREAMUNO,0.53,7.45,17.11,11.21,24.71,0.84,0.84,0.84,57.69,88.61,19.99,17.7,18.85,26.03,15.61,1.46,0.15,2025-02-01
OREAMUNO,5.640000000000001,131.9,17.11,11.21,24.71,0.71,0.71,0.72,78.32,84.79,20.68,17.55,19.11,27.44,15.96,1.33,0.16,2025-03-01
OREAMUNO,73.33900000000001,1802.2744800000005,17.11,11.21,24.71,0.76,0.77,0.79,342.6,87.64,20.78,18.26,19.52,27.01,16.5,1.33,0.14,2025-04-01
OREAMUNO,123.47999999999998,3050.5921200000003,17.11,11.21,24.71,0.86,0.88,0.89,364.74,92.25,21.6,20.04,20.82,26.25,16.62,0.97,0.13,2025-05-01
EL GUARCO,123.47999999999998,3050.5921200000003,15.63,10.43,22.81,0.91,0.92,0.91,112.8,84.88,20.97,18.12,19.55,25.23,16.9,0.99,0.44,2025-01-01
EL GUARCO,0.7,13.248,17.11,11.21,24.71,0.83,0.82,0.85,60.32,81.77,21.27,17.76,19.51,26.57,17.43,1.12,0.45,2025-02-01
EL GUARCO,1.4,29.808,17.11,11.21,24.71,0.72,0.72,0.75,106.03,79.12,22.1,17.85,19.97,28.61,16.83,1.06,0.49,2025-03-01
EL GUARCO,1.19,21.528,17.11,11.21,24.71,0.74,0.74,0.78,270.67,81.47,22.21,18.53,20.37,28.22,18.26,1.0,0.46,2025-04-01
EL GUARCO,2.2749999999999995,44.2152,17.11,11.21,24.71,0.88,0.89,0.91,523.81,90.11,22.23,20.32,21.27,27.17,18.17,0.77,0.48,2025-05-01
CARTAGO,2.2749999999999995,44.2152,15.63,10.43,22.81,0.91,0.92,0.9,122.3,91.29,19.89,18.14,19.01,24.42,14.9,1.42,0.14,2025-01-01
CARTAGO,2.2749999999999995,44.2152,17.11,11.21,24.71,0.84,0.84,0.84,57.69,88.61,19.99,17.7,18.85,26.03,15.61,1.46,0.15,2025-02-01
CARTAGO,9.240000000000002,211.968,17.11,11.21,24.71,0.71,0.71,0.72,78.32,84.79,20.68,17.55,19.11,27.44,15.96,1.33,0.16,2025-03-01
CARTAGO,14.14,346.2282,17.11,11.21,24.71,0.76,0.77,0.79,342.6,87.64,20.78,18.26,19.52,27.01,16.5,1.33,0.14,2025-04-01
CARTAGO,15.574999999999998,379.224,17.11,11.21,24.71,0.86,0.88,0.89,364.74,92.25,21.6,20.04,20.82,26.25,16.62,0.97,0.13,2025-05-01
ALVARADO,7.0,181.33,15.63,10.43,22.81,0.91,0.92,0.9,122.3,91.29,19.89,18.14,19.01,24.42,14.9,1.42,0.14,2025-01-01
ALVARADO,7.0,181.33,17.11,11.21,24.71,0.84,0.84,0.84,57.69,88.61,19.99,17.7,18.85,26.03,15.61,1.46,0.15,2025-02-01
ALVARADO,26.739999999999995,596.4084,17.11,11.21,24.71,0.71,0.71,0.72,78.32,84.79,20.68,17.55,19.11,27.44,15.96,1.33,0.16,2025-03-01
ALVARADO,95.92099999999996,2446.5743999999986,17.11,11.21,24.71,0.76,0.77,0.79,342.6,87.64,20.78,18.26,19.52,27.01,16.5,1.33,0.14,2025-04-01
ALVARADO,101.941,3172.63104,17.11,11.21,24.71,0.86,0.88,0.89,364.74,92.25,21.6,20.04,20.82,26.25,16.62,0.97,0.13,2025-05-01
