produccion,area,PRECTOTCORR_SUM,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,WS2M,fecha,canton_id
136.21,0.001093254411859442,0.26739011234235727,0.8790931989924431,0.09979633401221966,0.37523452157598447,0.15955056179775262,0.27862068965517217,0.28590971272229826,0.08771929824561403,2005-01-01,1.0
66.24,0.0004964170812949286,0.14900345570701723,0.7422334172963896,0.02036659877800462,0.18011257035647255,0.0,0.3599999999999999,0.18741450068399446,0.08771929824561403,2005-02-01,1.0
14.9,9.852552758525301e-05,0.06319735785057573,0.6116708648194797,0.43991853360488786,0.435272045028142,0.3842696629213487,0.42482758620689687,0.33378932968536246,0.052631578947368446,2005-03-01,1.0
60.03,0.00043010182234331606,0.2588847375065352,0.6364399664147773,0.5010183299389004,0.5046904315196996,0.45842696629213453,0.5517241379310343,0.2818057455540357,0.052631578947368446,2005-04-01,1.0
140.76,0.0008943086350046043,0.22266994810063628,0.7858942065491181,0.6130346232179225,0.7542213883677293,0.6719101123595506,0.5931034482758624,0.6306429548563615,0.03508771929824561,2005-05-01,1.0
240.12,0.0018227222603271807,0.3151834330090154,0.9458438287153652,0.5947046843177182,0.8855534709193247,0.7393258426966289,0.4937931034482763,0.6922024623803011,0.07017543859649122,2005-06-01,1.0
372.6,0.0023532443319400813,0.26112903431478807,0.8727959697732999,0.5193482688391038,0.7467166979362094,0.6157303370786513,0.48827586206896534,0.6114911080711356,0.052631578947368446,2005-07-01,1.0
186.3,0.0012922001887142797,0.27312837122709477,0.9021830394626362,0.4256619144602851,0.6904315196998119,0.5280898876404487,0.2841379310344827,0.5786593707250338,0.03508771929824561,2005-08-01,1.0
178.02,0.0013585154476658922,0.392318384106298,0.965155331654072,0.4012219959266803,0.7223264540337708,0.5348314606741571,0.3572413793103446,0.5526675786593707,0.03508771929824561,2005-09-01,1.0
178.02,0.0013585154476658922,0.44808150877953606,0.9878253568429889,0.41547861507128303,0.7523452157598496,0.559550561797753,0.3089655172413792,0.7277701778385772,0.0,2005-10-01,1.0
178.02,0.0013585154476658922,0.2841585799722013,0.9248530646515531,0.2790224032586561,0.5703564727954973,0.3752808988764045,0.2317241379310344,0.2900136798905608,0.052631578947368446,2005-11-01,1.0
274.9,0.0018227222603271807,0.0780020657731985,0.7716204869857259,0.1262729124236257,0.29643527204502806,0.12808988764044926,0.19586206896551728,0.012311901504787892,0.07017543859649122,2005-12-01,1.0
3000.38,0.022399399752170403,0.26739011234235727,0.8790931989924431,0.09979633401221966,0.37523452157598447,0.15955056179775262,0.27862068965517217,0.28590971272229826,0.08771929824561403,2005-01-01,0.75
2726.91,0.021781720483078238,0.14900345570701723,0.7422334172963896,0.02036659877800462,0.18011257035647255,0.0,0.3599999999999999,0.18741450068399446,0.08771929824561403,2005-02-01,0.75
3857.77,0.02884713764395148,0.06319735785057573,0.6116708648194797,0.43991853360488786,0.435272045028142,0.3842696629213487,0.42482758620689687,0.33378932968536246,0.052631578947368446,2005-03-01,0.75
1011.56,0.007906673588716554,0.2588847375065352,0.6364399664147773,0.5010183299389004,0.5046904315196996,0.45842696629213453,0.5517241379310343,0.2818057455540357,0.052631578947368446,2005-04-01,0.75
1129.42,0.009520976463767239,0.22266994810063628,0.7858942065491181,0.6130346232179225,0.7542213883677293,0.6719101123595506,0.5931034482758624,0.6306429548563615,0.03508771929824561,2005-05-01,0.75
1166.89,0.009858236923578297,0.3151834330090154,0.9458438287153652,0.5947046843177182,0.8855534709193247,0.7393258426966289,0.4937931034482763,0.6922024623803011,0.07017543859649122,2005-06-01,0.75
1238.39,0.009615712547983827,0.26112903431478807,0.8727959697732999,0.5193482688391038,0.7467166979362094,0.6157303370786513,0.48827586206896534,0.6114911080711356,0.052631578947368446,2005-07-01,0.75
1455.83,0.011387277322834049,0.27312837122709477,0.9021830394626362,0.4256619144602851,0.6904315196998119,0.5280898876404487,0.2841379310344827,0.5786593707250338,0.03508771929824561,2005-08-01,0.75
2824.54,0.02171729994581096,0.392318384106298,0.965155331654072,0.4012219959266803,0.7223264540337708,0.5348314606741571,0.3572413793103446,0.5526675786593707,0.03508771929824561,2005-09-01,0.75
1843.6,0.014678408888518367,0.44808150877953606,0.9878253568429889,0.41547861507128303,0.7523452157598496,0.559550561797753,0.3089655172413792,0.7277701778385772,0.0,2005-10-01,0.75
1409.67,0.009913183852423919,0.2841585799722013,0.9248530646515531,0.2790224032586561,0.5703564727954973,0.3752808988764045,0.2317241379310344,0.2900136798905608,0.052631578947368446,2005-11-01,0.75
934.37,0.007755095853970011,0.0780020657731985,0.7716204869857259,0.1262729124236257,0.29643527204502806,0.12808988764044926,0.19586206896551728,0.012311901504787892,0.07017543859649122,2005-12-01,0.75
49.94,0.0005987320522488452,0.22631693041404724,0.47439126784214913,0.46843177189409424,0.38461538461538414,0.368539325842697,0.3475862068965516,0.5786593707250338,0.5614035087719298,2005-01-01,0.5
31.5,0.0003865232236036849,0.12694303821680417,0.3018471872376156,0.44195519348268775,0.187617260787992,0.2359550561797752,0.5944827586206896,0.45827633378932964,0.7543859649122808,2005-02-01,0.5
31.5,0.0003865232236036849,0.07645911171752463,0.3988245172124265,0.7433808553971488,0.5065666041275798,0.595505617977528,0.673103448275862,0.6566347469220246,0.5438596491228069,2005-03-01,0.5
31.5,0.0003865232236036849,0.2503156042386605,0.40722082283795125,0.798370672097759,0.5778611632270167,0.6674157303370789,0.6565517241379313,0.6210670314637485,0.5438596491228069,2005-04-01,0.5
48.72,0.0004319965440276478,0.2180793409928463,0.7237615449202348,0.7352342158859466,0.8236397748592865,0.7797752808988765,0.6179310344827589,0.8768809849521202,0.6491228070175439,2005-05-01,0.5
36.79,0.000502101246347924,0.27886663011183227,0.9068010075566755,0.663951120162932,0.9230769230769229,0.7999999999999998,0.4441379310344824,0.8905608755129957,0.7894736842105263,2005-06-01,0.5
91.89,0.001093254411859442,0.2407518394307647,0.756926952141058,0.6680244399185336,0.795497185741088,0.725842696629214,0.4731034482758618,0.8686730506155951,0.5964912280701755,2005-07-01,0.5
34.77,0.0003751548934976942,0.27476058708764234,0.8194794290512171,0.5967413441955189,0.7823639774859283,0.678651685393258,0.3531034482758617,0.7674418604651163,0.6140350877192982,2005-08-01,0.5
68.15,0.00069915230151843,0.34418076790655555,0.8706968933669184,0.5519348268839108,0.7879924953095685,0.6561797752808989,0.43034482758620696,0.7893296853625174,0.7719298245614035,2005-09-01,0.5
42.79,0.0003656812850760352,0.3740834725392433,1.0,0.40529531568228094,0.7654784240150092,0.5640449438202246,0.20551724137931027,0.811217510259918,1.0,2005-10-01,0.5
63.15,0.0006328370425668173,0.31819283100189993,0.8450881612090675,0.42362525458248435,0.6454033771106937,0.5011235955056179,0.2165517241379309,0.5978112175102597,0.5789473684210527,2005-11-01,0.5
49.96,0.0004319965440276478,0.0736027339615664,0.5478589420654911,0.3564154786150713,0.3320825515947461,0.27640449438202275,0.21931034482758616,0.2421340629274964,0.5087719298245614,2005-12-01,0.5
1991.51,0.017550806961965357,0.26739011234235727,0.8790931989924431,0.09979633401221966,0.37523452157598447,0.15955056179775262,0.27862068965517217,0.28590971272229826,0.08771929824561403,2005-01-01,0.25
2225.56,0.01877479717004369,0.14900345570701723,0.7422334172963896,0.02036659877800462,0.18011257035647255,0.0,0.3599999999999999,0.18741450068399446,0.08771929824561403,2005-02-01,0.25
1585.93,0.014128939600062148,0.06319735785057573,0.6116708648194797,0.43991853360488786,0.435272045028142,0.3842696629213487,0.42482758620689687,0.33378932968536246,0.052631578947368446,2005-03-01,0.25
101.02,0.0008943086350046043,0.2588847375065352,0.6364399664147773,0.5010183299389004,0.5046904315196996,0.45842696629213453,0.5517241379310343,0.2818057455540357,0.052631578947368446,2005-04-01,0.25
488.93,0.004278281563221179,0.22266994810063628,0.7858942065491181,0.6130346232179225,0.7542213883677293,0.6719101123595506,0.5931034482758624,0.6306429548563615,0.03508771929824561,2005-05-01,0.25
1753.28,0.013098211003785654,0.3151834330090154,0.9458438287153652,0.5947046843177182,0.8855534709193247,0.7393258426966289,0.4937931034482763,0.6922024623803011,0.07017543859649122,2005-06-01,0.25
4211.09,0.030372388599838568,0.26112903431478807,0.8727959697732999,0.5193482688391038,0.7467166979362094,0.6157303370786513,0.48827586206896534,0.6114911080711356,0.052631578947368446,2005-07-01,0.25
193.22,0.0020557730274999905,0.27312837122709477,0.9021830394626362,0.4256619144602851,0.6904315196998119,0.5280898876404487,0.2841379310344827,0.5786593707250338,0.03508771929824561,2005-08-01,0.25
4761.66,0.042909761985062016,0.392318384106298,0.965155331654072,0.4012219959266803,0.7223264540337708,0.5348314606741571,0.3572413793103446,0.5526675786593707,0.03508771929824561,2005-09-01,0.25
2332.76,0.020360679219829397,0.44808150877953606,0.9878253568429889,0.41547861507128303,0.7523452157598496,0.559550561797753,0.3089655172413792,0.7277701778385772,0.0,2005-10-01,0.25
770.45,0.005801637797423937,0.2841585799722013,0.9248530646515531,0.2790224032586561,0.5703564727954973,0.3752808988764045,0.2317241379310344,0.2900136798905608,0.052631578947368446,2005-11-01,0.25
1027.75,0.008854034430882448,0.0780020657731985,0.7716204869857259,0.1262729124236257,0.29643527204502806,0.12808988764044926,0.19586206896551728,0.012311901504787892,0.07017543859649122,2005-12-01,0.25
433.03,0.003550708436437772,0.26739011234235727,0.8790931989924431,0.09979633401221966,0.37523452157598447,0.15955056179775262,0.27862068965517217,0.28590971272229826,0.08771929824561403,2005-01-01,0.0
901.1,0.00728899431962439,0.14900345570701723,0.7422334172963896,0.02036659877800462,0.18011257035647255,0.0,0.3599999999999999,0.18741450068399446,0.08771929824561403,2005-02-01,0.0
855.38,0.007360993743628999,0.06319735785057573,0.6116708648194797,0.43991853360488786,0.435272045028142,0.3842696629213487,0.42482758620689687,0.33378932968536246,0.052631578947368446,2005-03-01,0.0
1110.92,0.009106032414898577,0.2588847375065352,0.6364399664147773,0.5010183299389004,0.5046904315196996,0.45842696629213453,0.5517241379310343,0.2818057455540357,0.052631578947368446,2005-04-01,0.0
2787.8,0.021429302249792528,0.22266994810063628,0.7858942065491181,0.6130346232179225,0.7542213883677293,0.6719101123595506,0.5931034482758624,0.6306429548563615,0.03508771929824561,2005-05-01,0.0
1841.52,0.014625356681357077,0.3151834330090154,0.9458438287153652,0.5947046843177182,0.8855534709193247,0.7393258426966289,0.4937931034482763,0.6922024623803011,0.07017543859649122,2005-06-01,0.0
999.49,0.007360993743628999,0.26112903431478807,0.8727959697732999,0.5193482688391038,0.7467166979362094,0.6157303370786513,0.48827586206896534,0.6114911080711356,0.052631578947368446,2005-07-01,0.0
1336.79,0.009051085486052955,0.27312837122709477,0.9021830394626362,0.4256619144602851,0.6904315196998119,0.5280898876404487,0.2841379310344827,0.5786593707250338,0.03508771929824561,2005-08-01,0.0
1228.04,0.008656983375711942,0.392318384106298,0.965155331654072,0.4012219959266803,0.7223264540337708,0.5348314606741571,0.3572413793103446,0.5526675786593707,0.03508771929824561,2005-09-01,0.0
743.48,0.004909223884103664,0.44808150877953606,0.9878253568429889,0.41547861507128303,0.7523452157598496,0.559550561797753,0.3089655172413792,0.7277701778385772,0.0,2005-10-01,0.0
256.68,0.0016900917424239553,0.2841585799722013,0.9248530646515531,0.2790224032586561,0.5703564727954973,0.3752808988764045,0.2317241379310344,0.2900136798905608,0.052631578947368446,2005-11-01,0.0
815.38,0.006402264571357114,0.0780020657731985,0.7716204869857259,0.1262729124236257,0.29643527204502806,0.12808988764044926,0.19586206896551728,0.012311901504787892,0.07017543859649122,2005-12-01,0.0
68.72,0.00043010182234331606,0.2680659517221152,0.8543240973971455,0.15682281059063152,0.4015009380863037,0.2089887640449435,0.1779310344827585,0.20109439124487016,0.07017543859649122,2006-01-01,1.0
